#TC_ID/PC_ID , Testcase_Description , Service_ID , SubService_ID , Expected_Response_Data , Write_Data , Addressing , Format , Status_Mask , Communication_Type , controltype
PC_ID-003 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-647 , Conditions not correct(invalid range)(14 FFEEEE) , 0x14 , 0xFFFFFE , 03 7F 14 31 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
WAIT,0x07D0
PC_ID-003 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-646 , Fault memory clear Extended session(14 FFFFFF) , 0x14 , 0x8000FF , 01 54 AA AA AA AA AA AA ,    , Physical , Hex ,    ,    ,   
WAIT,0x0BB8
PC_ID-003 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-645 , Fault memory clear Extended session(14 FFFFFF) , 0x14 , 0xFFFFFF , 01 54 AA AA AA AA AA AA ,    , Physical , Hex ,    ,    ,   
AWAIT_VALUE_MATCH,0x03,0x1388
PC_ID-025 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-209 , 3RD RH SEAT Heat Mode to the High STOP , 0x2F , 0xF021 , 40 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    , 0x00
PC_ID-025 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-208 , 3RD RH SEAT Heat Mode to the High START , 0x2F , 0xF021 , 39 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    , 0x03
PC_ID-025 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-207 , IOC_ReclineFWD_OUT STOP , 0x2F , 0xF020 , 38 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    , 0x00
PC_ID-025 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
